sep=;
Execution Time;Execution Time UTC;ISIN;Publication Time;Publication Time UTC;CCY;Venue of execution (MIC Code);Venue of publication (MIC Code);Price notation;Transaction to be cleared;MMT Flags;Transaction ID Code;Price;Volume;Buyer;Seller;Trade type
2021-08-31 17:29:49;2021-08-31T15:29:49.420000Z;SE0000195810;2021-08-31 17:29:49;2021-08-31T15:29:49.420000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001195823;402.400;195;;;
2021-08-31 17:29:49;2021-08-31T15:29:49.420000Z;SE0000195810;2021-08-31 17:29:49;2021-08-31T15:29:49.420000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001195822;402.400;106;;;
2021-08-31 17:29:49;2021-08-31T15:29:49.420000Z;SE0000195810;2021-08-31 17:29:49;2021-08-31T15:29:49.420000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------P----;001195821;402.400;280;;;
2021-08-31 17:29:49;2021-08-31T15:29:49.420000Z;SE0000195810;2021-08-31 17:29:49;2021-08-31T15:29:49.420000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001195820;402.400;216;;;
2021-08-31 17:29:49;2021-08-31T15:29:49.420000Z;SE0000195810;2021-08-31 17:29:49;2021-08-31T15:29:49.420000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001195819;402.400;222;;;
2021-08-31 17:29:49;2021-08-31T15:29:49.420000Z;SE0000195810;2021-08-31 17:29:49;2021-08-31T15:29:49.420000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001195818;402.400;265;;;
2021-08-31 17:29:49;2021-08-31T15:29:49.420000Z;SE0000195810;2021-08-31 17:29:49;2021-08-31T15:29:49.420000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001195817;402.400;69;;;
2021-08-31 17:29:49;2021-08-31T15:29:49.420000Z;SE0000195810;2021-08-31 17:29:49;2021-08-31T15:29:49.420000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001195816;402.400;426;;;
2021-08-31 17:29:49;2021-08-31T15:29:49.420000Z;SE0000195810;2021-08-31 17:29:49;2021-08-31T15:29:49.420000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001195815;402.400;2;;;
2021-08-31 17:29:49;2021-08-31T15:29:49.420000Z;SE0000195810;2021-08-31 17:29:49;2021-08-31T15:29:49.420000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001195814;402.400;6;;;
2021-08-31 17:29:49;2021-08-31T15:29:49.420000Z;SE0000195810;2021-08-31 17:29:49;2021-08-31T15:29:49.420000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------P----;001195813;402.400;966;;;
